img_path,country,continent
geoguessr_data/compressed_dataset/United States/canvas_1629431154.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629472973.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/United States/canvas_1629443505.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1630054281.jpg,Japan,AS
geoguessr_data/compressed_dataset/Sweden/canvas_1629738339.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629689118.jpg,Japan,AS
geoguessr_data/compressed_dataset/Australia/canvas_1630013278.jpg,Australia,OC
geoguessr_data/compressed_dataset/Spain/canvas_1629511255.jpg,Spain,EU
geoguessr_data/compressed_dataset/Romania/canvas_1629546259.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629776745.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Dominican Republic/canvas_1629425790.jpg,Other countries in NA,NA
geoguessr_data/compressed_dataset/South Africa/canvas_1629714470.jpg,South Africa,AF
geoguessr_data/compressed_dataset/Netherlands/canvas_1629757263.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/Mexico/canvas_1630065227.jpg,Mexico,NA
geoguessr_data/compressed_dataset/Poland/canvas_1629736699.jpg,Poland,EU
geoguessr_data/compressed_dataset/United States/canvas_1629354581.jpg,United States,NA
geoguessr_data/compressed_dataset/Slovakia/canvas_1629759523.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Finland/canvas_1629549033.jpg,Finland,EU
geoguessr_data/compressed_dataset/Czechia/canvas_1629265581.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Sweden/canvas_1629854584.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Japan/canvas_1630078663.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629307857.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629406979.jpg,Japan,AS
geoguessr_data/compressed_dataset/France/canvas_1630050120.jpg,France,EU
geoguessr_data/compressed_dataset/Argentina/canvas_1629899538.jpg,Argentina,SA
geoguessr_data/compressed_dataset/United States/canvas_1630275086.jpg,United States,NA
geoguessr_data/compressed_dataset/Russia/canvas_1629771969.jpg,Russia,EU
geoguessr_data/compressed_dataset/Netherlands/canvas_1629965154.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/United Arab Emirates/canvas_1630214641.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Norway/canvas_1629324092.jpg,Norway,EU
geoguessr_data/compressed_dataset/Russia/canvas_1629920232.jpg,Russia,EU
geoguessr_data/compressed_dataset/Singapore/canvas_1629906797.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Israel/canvas_1630054745.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Peru/canvas_1629522458.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/United States/canvas_1630052913.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629412170.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/France/canvas_1629261998.jpg,France,EU
geoguessr_data/compressed_dataset/France/canvas_1629621504.jpg,France,EU
geoguessr_data/compressed_dataset/France/canvas_1629775008.jpg,France,EU
geoguessr_data/compressed_dataset/United States/canvas_1630271816.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629971828.jpg,United States,NA
geoguessr_data/compressed_dataset/Brazil/canvas_1630133479.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1629324734.jpg,United States,NA
geoguessr_data/compressed_dataset/France/canvas_1630025232.jpg,France,EU
geoguessr_data/compressed_dataset/United States/canvas_1629784014.jpg,United States,NA
geoguessr_data/compressed_dataset/Bangladesh/canvas_1629756267.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Chile/canvas_1629501327.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/United States/canvas_1630220213.jpg,United States,NA
geoguessr_data/compressed_dataset/Montenegro/canvas_1630055156.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Singapore/canvas_1630136067.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629330269.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Israel/canvas_1629621067.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/United States/canvas_1629769752.jpg,United States,NA
geoguessr_data/compressed_dataset/Ireland/canvas_1629934932.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Canada/canvas_1630272612.jpg,Canada,NA
geoguessr_data/compressed_dataset/Thailand/canvas_1630267429.jpg,Thailand,AS
geoguessr_data/compressed_dataset/Japan/canvas_1630038406.jpg,Japan,AS
geoguessr_data/compressed_dataset/Colombia/canvas_1630134461.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Botswana/canvas_1629519407.jpg,Other countries in AF,AF
geoguessr_data/compressed_dataset/Chile/canvas_1630139795.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Malaysia/canvas_1629429889.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Singapore/canvas_1629476214.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Italy/canvas_1629703688.jpg,Italy,EU
geoguessr_data/compressed_dataset/Norway/canvas_1630018418.jpg,Norway,EU
geoguessr_data/compressed_dataset/United States/canvas_1629589986.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629503223.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1629415960.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1630003318.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Colombia/canvas_1629767421.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/United States/canvas_1629347759.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1630056376.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629846662.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Singapore/canvas_1630026473.jpg,Singapore,AS
geoguessr_data/compressed_dataset/France/canvas_1630080255.jpg,France,EU
geoguessr_data/compressed_dataset/Japan/canvas_1630021518.jpg,Japan,AS
geoguessr_data/compressed_dataset/South Africa/canvas_1629476661.jpg,South Africa,AF
geoguessr_data/compressed_dataset/South Africa/canvas_1629841699.jpg,South Africa,AF
geoguessr_data/compressed_dataset/United States/canvas_1630019253.jpg,United States,NA
geoguessr_data/compressed_dataset/Russia/canvas_1629511941.jpg,Russia,EU
geoguessr_data/compressed_dataset/Senegal/canvas_1629259227.jpg,Other countries in AF,AF
geoguessr_data/compressed_dataset/United States/canvas_1630107396.jpg,United States,NA
geoguessr_data/compressed_dataset/Canada/canvas_1629479771.jpg,Canada,NA
geoguessr_data/compressed_dataset/Japan/canvas_1630074644.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629615424.jpg,Japan,AS
geoguessr_data/compressed_dataset/South Africa/canvas_1629929445.jpg,South Africa,AF
geoguessr_data/compressed_dataset/United States/canvas_1629966769.jpg,United States,NA
geoguessr_data/compressed_dataset/Singapore/canvas_1630216119.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629420024.jpg,Brazil,SA
geoguessr_data/compressed_dataset/South Africa/canvas_1629547403.jpg,South Africa,AF
geoguessr_data/compressed_dataset/Malaysia/canvas_1630219147.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Spain/canvas_1629782918.jpg,Spain,EU
geoguessr_data/compressed_dataset/Spain/canvas_1630139039.jpg,Spain,EU
geoguessr_data/compressed_dataset/South Africa/canvas_1629318371.jpg,South Africa,AF
geoguessr_data/compressed_dataset/United States/canvas_1629508551.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1630076742.jpg,United States,NA
geoguessr_data/compressed_dataset/Singapore/canvas_1629584503.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629970443.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1629850223.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629918492.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Hong Kong/canvas_1629912571.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Finland/canvas_1629431973.jpg,Finland,EU
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629304875.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/France/canvas_1630017078.jpg,France,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629443843.jpg,Japan,AS
geoguessr_data/compressed_dataset/Thailand/canvas_1629965493.jpg,Thailand,AS
geoguessr_data/compressed_dataset/United Kingdom/canvas_1630217279.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Cambodia/canvas_1629759770.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/France/canvas_1629666967.jpg,France,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629827470.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Japan/canvas_1630137427.jpg,Japan,AS
geoguessr_data/compressed_dataset/Germany/canvas_1629413410.jpg,Germany,EU
geoguessr_data/compressed_dataset/Netherlands/canvas_1629327485.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/Russia/canvas_1630028931.jpg,Russia,EU
geoguessr_data/compressed_dataset/Indonesia/canvas_1629993889.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Singapore/canvas_1629593707.jpg,Singapore,AS
geoguessr_data/compressed_dataset/United States/canvas_1629822027.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629271212.jpg,United States,NA
geoguessr_data/compressed_dataset/Sweden/canvas_1630215412.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Argentina/canvas_1629324935.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Poland/canvas_1629545224.jpg,Poland,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629536656.jpg,Japan,AS
geoguessr_data/compressed_dataset/New Zealand/canvas_1629577274.jpg,New Zealand,OC
geoguessr_data/compressed_dataset/United States/canvas_1629514990.jpg,United States,NA
geoguessr_data/compressed_dataset/Poland/canvas_1629785199.jpg,Poland,EU
geoguessr_data/compressed_dataset/Switzerland/canvas_1629396644.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/Australia/canvas_1629964872.jpg,Australia,OC
geoguessr_data/compressed_dataset/New Zealand/canvas_1630054806.jpg,New Zealand,OC
geoguessr_data/compressed_dataset/Ecuador/canvas_1629871275.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Brazil/canvas_1629500564.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1630106505.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629521004.jpg,Japan,AS
geoguessr_data/compressed_dataset/Spain/canvas_1629577452.jpg,Spain,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1630048981.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Sweden/canvas_1630216374.jpg,Sweden,EU
geoguessr_data/compressed_dataset/United States/canvas_1629586477.jpg,United States,NA
geoguessr_data/compressed_dataset/Finland/canvas_1629784157.jpg,Finland,EU
geoguessr_data/compressed_dataset/Indonesia/canvas_1630017370.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/France/canvas_1629943449.jpg,France,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629479399.jpg,Japan,AS
geoguessr_data/compressed_dataset/France/canvas_1629541226.jpg,France,EU
geoguessr_data/compressed_dataset/Taiwan/canvas_1629861378.jpg,Taiwan,AS
geoguessr_data/compressed_dataset/Taiwan/canvas_1629703120.jpg,Taiwan,AS
geoguessr_data/compressed_dataset/Mongolia/canvas_1630008640.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/United Kingdom/canvas_1630028597.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Sweden/canvas_1629433348.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Bulgaria/canvas_1629281715.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/France/canvas_1629736572.jpg,France,EU
geoguessr_data/compressed_dataset/Malaysia/canvas_1629260829.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Thailand/canvas_1630281646.jpg,Thailand,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629539392.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Singapore/canvas_1629851481.jpg,Singapore,AS
geoguessr_data/compressed_dataset/Chile/canvas_1629716279.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Sweden/canvas_1629669200.jpg,Sweden,EU
geoguessr_data/compressed_dataset/United States/canvas_1629787621.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629701369.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629738951.jpg,Japan,AS
geoguessr_data/compressed_dataset/Russia/canvas_1630272746.jpg,Russia,EU
geoguessr_data/compressed_dataset/France/canvas_1629443178.jpg,France,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629302207.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Spain/canvas_1629747794.jpg,Spain,EU
geoguessr_data/compressed_dataset/United States/canvas_1629483372.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1630275589.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629758531.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1629429883.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629992280.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1629325193.jpg,United States,NA
geoguessr_data/compressed_dataset/France/canvas_1629578336.jpg,France,EU
geoguessr_data/compressed_dataset/Australia/canvas_1630283193.jpg,Australia,OC
geoguessr_data/compressed_dataset/Spain/canvas_1629279558.jpg,Spain,EU
geoguessr_data/compressed_dataset/United States/canvas_1629269945.jpg,United States,NA
geoguessr_data/compressed_dataset/Poland/canvas_1629778844.jpg,Poland,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629545093.jpg,Japan,AS
geoguessr_data/compressed_dataset/Italy/canvas_1630066041.jpg,Italy,EU
geoguessr_data/compressed_dataset/Finland/canvas_1630040204.jpg,Finland,EU
geoguessr_data/compressed_dataset/Singapore/canvas_1630077194.jpg,Singapore,AS
geoguessr_data/compressed_dataset/South Africa/canvas_1629695751.jpg,South Africa,AF
geoguessr_data/compressed_dataset/United States/canvas_1630252456.jpg,United States,NA
geoguessr_data/compressed_dataset/Argentina/canvas_1629841545.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Argentina/canvas_1629710630.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Australia/canvas_1629854772.jpg,Australia,OC
geoguessr_data/compressed_dataset/Sweden/canvas_1629319878.jpg,Sweden,EU
geoguessr_data/compressed_dataset/Norway/canvas_1629993348.jpg,Norway,EU
geoguessr_data/compressed_dataset/Israel/canvas_1629285383.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/Australia/canvas_1630109343.jpg,Australia,OC
geoguessr_data/compressed_dataset/Australia/canvas_1629864899.jpg,Australia,OC
geoguessr_data/compressed_dataset/France/canvas_1629303270.jpg,France,EU
geoguessr_data/compressed_dataset/Finland/canvas_1629311072.jpg,Finland,EU
geoguessr_data/compressed_dataset/United States/canvas_1629827930.jpg,United States,NA
geoguessr_data/compressed_dataset/Finland/canvas_1629708218.jpg,Finland,EU
geoguessr_data/compressed_dataset/Brazil/canvas_1629843362.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1630001578.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1630080163.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Ghana/canvas_1629769465.jpg,Other countries in AF,AF
geoguessr_data/compressed_dataset/United States/canvas_1630109273.jpg,United States,NA
geoguessr_data/compressed_dataset/Argentina/canvas_1630059328.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Japan/canvas_1630075642.jpg,Japan,AS
geoguessr_data/compressed_dataset/Thailand/canvas_1630279210.jpg,Thailand,AS
geoguessr_data/compressed_dataset/Canada/canvas_1629309634.jpg,Canada,NA
geoguessr_data/compressed_dataset/United States/canvas_1629583994.jpg,United States,NA
geoguessr_data/compressed_dataset/Finland/canvas_1629568583.jpg,Finland,EU
geoguessr_data/compressed_dataset/France/canvas_1629706065.jpg,France,EU
geoguessr_data/compressed_dataset/Taiwan/canvas_1629445005.jpg,Taiwan,AS
geoguessr_data/compressed_dataset/Netherlands/canvas_1629504632.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/United States/canvas_1629747468.jpg,United States,NA
geoguessr_data/compressed_dataset/Australia/canvas_1629906488.jpg,Australia,OC
geoguessr_data/compressed_dataset/United States/canvas_1629959408.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629393372.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Japan/canvas_1630268986.jpg,Japan,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629410103.jpg,Brazil,SA
geoguessr_data/compressed_dataset/United States/canvas_1629590548.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629822092.jpg,Japan,AS
geoguessr_data/compressed_dataset/United States/canvas_1629329198.jpg,United States,NA
geoguessr_data/compressed_dataset/Australia/canvas_1630009262.jpg,Australia,OC
geoguessr_data/compressed_dataset/Netherlands/canvas_1629516284.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/Bulgaria/canvas_1629918024.jpg,Other countries in EU,EU
geoguessr_data/compressed_dataset/United States/canvas_1629330900.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629617483.jpg,Japan,AS
geoguessr_data/compressed_dataset/Brazil/canvas_1629838081.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Norway/canvas_1629448977.jpg,Norway,EU
geoguessr_data/compressed_dataset/Singapore/canvas_1629325416.jpg,Singapore,AS
geoguessr_data/compressed_dataset/United States/canvas_1629783276.jpg,United States,NA
geoguessr_data/compressed_dataset/France/canvas_1629993422.jpg,France,EU
geoguessr_data/compressed_dataset/United States/canvas_1630287852.jpg,United States,NA
geoguessr_data/compressed_dataset/United States/canvas_1629545860.jpg,United States,NA
geoguessr_data/compressed_dataset/France/canvas_1629418010.jpg,France,EU
geoguessr_data/compressed_dataset/Japan/canvas_1629521668.jpg,Japan,AS
geoguessr_data/compressed_dataset/Canada/canvas_1630103198.jpg,Canada,NA
geoguessr_data/compressed_dataset/United States/canvas_1629709830.jpg,United States,NA
geoguessr_data/compressed_dataset/Italy/canvas_1629538357.jpg,Italy,EU
geoguessr_data/compressed_dataset/United States/canvas_1629398418.jpg,United States,NA
geoguessr_data/compressed_dataset/United Kingdom/canvas_1629709471.jpg,United Kingdom,EU
geoguessr_data/compressed_dataset/Argentina/canvas_1630026852.jpg,Argentina,SA
geoguessr_data/compressed_dataset/Poland/canvas_1629433826.jpg,Poland,EU
geoguessr_data/compressed_dataset/Sweden/canvas_1629856098.jpg,Sweden,EU
geoguessr_data/compressed_dataset/United States/canvas_1629933792.jpg,United States,NA
geoguessr_data/compressed_dataset/Brazil/canvas_1629681283.jpg,Brazil,SA
geoguessr_data/compressed_dataset/Netherlands/canvas_1630275696.jpg,Netherlands,EU
geoguessr_data/compressed_dataset/France/canvas_1629399634.jpg,France,EU
geoguessr_data/compressed_dataset/France/canvas_1629972565.jpg,France,EU
geoguessr_data/compressed_dataset/France/canvas_1630214140.jpg,France,EU
geoguessr_data/compressed_dataset/Philippines/canvas_1629269448.jpg,Other countries in AS,AS
geoguessr_data/compressed_dataset/United States/canvas_1630123018.jpg,United States,NA
geoguessr_data/compressed_dataset/Japan/canvas_1629719942.jpg,Japan,AS
geoguessr_data/compressed_dataset/Japan/canvas_1629531798.jpg,Japan,AS
geoguessr_data/compressed_dataset/Peru/canvas_1629679281.jpg,Other countries in SA,SA
geoguessr_data/compressed_dataset/Japan/canvas_1629779635.jpg,Japan,AS
